編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPXNMLLJIINFFCA87CC,坡道平面,0,
RPXNMLLJIINFFCA87CC,坡道平面,0,
RPTOMLLJIINFFDA67CC,坡道平面,0,
RPVOMLLJIINFFBA67CC,升降平面,0,
RPVOMLLJIINFFBA67CC,升降平面,0,
RPVOMLLJIINFFBA67CC,升降平面,0,
RPVOMLLJIINFFBA67CC,升降平面,0,
RPVOMLLJIINFFBA67CC,升降平面,0,
RPVOMLLJIINFFBA67CC,升降平面,0,
RPVOMLLJIINFFBA67CC,升降平面,0,
RPVOMLLJIINFFBA67CC,升降平面,0,
RPVOMLLJIINFFBA67CC,升降平面,0,
RPVOMLLJIINFFBA67CC,升降平面,0,
RPVOMLLJIINFFBA67CC,升降平面,0,
RPVOMLLJIINFFBA67CC,升降平面,0,
RPVOMLLJIINFFBA67CC,升降平面,0,
RPVOMLLJIINFFBA67CC,升降平面,0,
RPRNMLLJIINFFEA47CC,坡道平面,0,43.04
RPSNMLMJIINFFFA77CC,坡道平面,0,
RPPOMLMJIINFFEA47CC,坡道平面,0,
RPPNMLLJIINFFAA86CC,坡道機械,0,15.57
RPPNMLLJIINFFAA86CC,坡道機械,0,15.57
RPPNMLMJIINFFDA27CC,坡道平面,0,
RPSNMLMJIINFFDA57CC,坡道平面,0,44.68
RPSNMLMJIINFFDA57CC,坡道平面,0,44.68
RPSNMLMJIINFFDA57CC,坡道平面,0,44.68
RPQPMLMJIINFFDA57CC,坡道平面,0,
RPQPMLMJIINFFDA57CC,坡道平面,0,
RPQPMLMJIINFFDA57CC,坡道平面,0,
RPQPMLMJIINFFDA57CC,其他,0,
RPQPMLMJIINFFDA57CC,其他,0,
RPQPMLMJIINFFDA57CC,其他,0,
RPQPMLMJIINFFDA57CC,其他,0,
RPQPMLMJIINFFDA57CC,其他,0,
RPQPMLMJIINFFDA57CC,其他,0,
RPQPMLMJIINFFDA57CC,其他,0,
RPQPMLMJIINFFDA57CC,其他,0,
RPQPMLMJIINFFDA57CC,其他,0,
RPVNMLMJIINFFEA97CC,坡道平面,0,
RPOOMLMJIINFFCA17CC,坡道平面,0,29.77
RPVNMLNJIINFFDA97CC,坡道平面,0,
RPVNMLNJIINFFDA97CC,其他,0,
RPSPMLNJIINFFCA77CC,坡道平面,0,39.72
RPUNMLOJIINFFFA18CC,坡道平面,0,
RPVNMLOJIINFFBA87CC,坡道平面,0,34.25
RPVNMLOJIINFFFA28CC,坡道平面,0,49.60
RPVNMLOJIINFFFA28CC,坡道平面,0,
RPOPMLNJIINFFBA27CC,坡道平面,0,
RPQPMLOJIINFFCA67CC,坡道機械,0,4.76
RPRPMLPJIINFFCA87CC,坡道平面,3000,30.48
RPRPMLPJIINFFCA87CC,坡道平面,3000,30.48
RPRPMLPJIINFFCA87CC,坡道平面,3000,30.48
RPTTMLPJIINFFDA58CC,坡道平面,0,33.87
RPXOMLPJIINFFCA38CC,坡道平面,0,42.99
RPSOMLSJIINFFCA18CC,坡道平面,0,
RPSOMLPJIINFFEA08CC,坡道機械,0,44.93
RPTQMLSJIINFFCA48CC,坡道平面,0,
RPUQMLSJIINFFCA58CC,坡道平面,0,42.07
RPTNMLSJIINFFEA38CC,坡道平面,0,56.69
RPSNMLTJIINFFAA97CC,坡道機械,0,13.29
RPTNMLTJIINFFCA28CC,坡道平面,0,
RPUNMLTJIINFFCA38CC,坡道機械,0,25.44
RPRPMLTJIINFFCA28CC,一樓平面,7000,
RPVNMLTJIINFFBA38CC,坡道平面,0,41.42
