編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSQMLLJIINFFCB77CC,9,37.80,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPTQMLLJIINFFCB87CC,9,37.23,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPTQMLLJIINFFCB87CC,9,14.66,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPTQMLLJIINFFCB87CC,9,3.11,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPOQMLLJIINFFBB27CC,33,99.03,國民住宅,鋼筋混凝土造,74年3月23日,十二層,
RPPOMLLJIINFFIB87CC,2,112.80,見其他登記事項,鋼筋混凝土造,105年7月29日,十五層,
RPPOMLLJIINFFIB87CC,2,21.09,見其他登記事項,鋼筋混凝土造,105年7月29日,十五層,
RPPOMLLJIINFFIB87CC,2,29.10,見其他登記事項,鋼筋混凝土造,105年7月29日,十五層,
RPQOMLLJIINFFAB17CC,26,298.40,住商用,鋼筋混凝土造,81年10月21日,五層,
RPUQMLLJIINFFCB97CC,9,39.93,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPUQMLLJIINFFCB97CC,9,3.28,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPUQMLLJIINFFCB97CC,9,15.71,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPORMLLJIINFFCB47CC,9,58.57,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPORMLLJIINFFCB47CC,9,42.64,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPORMLLJIINFFCB47CC,9,23.14,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPWOMLLJIINFFCB97CC,21,343.76,見其他登記事項,鋼筋混凝土造,87年3月23日,五層,
RPUNMLMJIINFFFB08CC,7,20.00,見其他登記事項,鋼筋混凝土造,100年8月29日,四層,
RPVNMLMJIINFFFB18CC,6,16.33,見其他登記事項,鋼筋混凝土造,101年11月20日,四層,
RPPPMLMJIINFFIB08CC,32,112.92,見其他登記事項,加強磚造,75年9月9日,二層,
RPXNMLLJIINFFIB58CC,5,63.62,見其他登記事項,鋼筋混凝土造,102年11月18日,十二層,
RPXNMLLJIINFFIB58CC,5,59.06,見其他登記事項,鋼筋混凝土造,102年11月18日,十二層,
RPRPMLMJIINFFIB28CC,3,82.21,見其他登記事項,鋼筋混凝土造,104年4月1日,十一層,
RPRPMLMJIINFFIB28CC,3,43.92,見其他登記事項,鋼筋混凝土造,104年4月1日,十一層,
RPTPMLMJIINFFIB48CC,36,76.47,住家用,鋼筋混凝土造,71年10月30日,五層,
RPTPMLMJIINFFIB48CC,36,9.05,共有部分,鋼筋混凝土造,71年10月30日,五層,
RPVPMLLJIINFFCB97CC,12,14.47,見其他登記事項,鋼筋混凝土造,95年11月24日,十四層,
RPXPMLMJIINFFIB88CC,41,23.14,住家用,加強磚造,67年1月20日,二層,
RPXNMLMJIINFFAB87CC,41,57.88,住商用,鋼筋混凝土造,66年8月23日,四層,
RPVNMLMJIINFFAB67CC,41,40.43,住商用,鋼筋混凝土造,66年8月23日,四層,
