編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTQMLLJIINFFCB87CC,中正段,5.67,都市：商
RPOQMLLJIINFFBB27CC,水源段,.00,都市：住
RPOQMLLJIINFFBB27CC,水源段,.00,都市：住
RPOQMLLJIINFFBB27CC,錦村段,.00,都市：住
RPOQMLLJIINFFBB27CC,錦村段,.00,都市：住
RPOQMLLJIINFFBB27CC,錦村段,.00,都市：住
RPOQMLLJIINFFBB27CC,錦村段,.00,都市：住
RPOQMLLJIINFFBB27CC,錦村段,.00,都市：其他
RPOQMLLJIINFFBB27CC,錦村段,.00,都市：其他
RPPOMLLJIINFFIB87CC,新榮泉段,20.57,都市：住
RPQOMLLJIINFFAB17CC,旱溪段,267.00,都市：住
RPVOMLLJIINFFCB87CC,中仁段,91.87,都市：住
RPUQMLLJIINFFCB97CC,中正段,5.67,都市：商
RPORMLLJIINFFCB47CC,中正段,8.49,都市：商
RPWOMLLJIINFFCB97CC,惠泰段,152.10,都市：住
RPWOMLLJIINFFCB97CC,惠泰段,96.16,都市：住
RPUNMLMJIINFFFB08CC,大學段,25.06,都市：住
RPVNMLMJIINFFFB18CC,大學段,5.20,都市：住
RPPPMLMJIINFFIB08CC,東榮段,77.43,都市：住
RPXNMLLJIINFFIB58CC,新三和段,21.86,都市：住
RPRPMLMJIINFFIB28CC,大義段,27.64,都市：住
RPTPMLMJIINFFIB48CC,東榮段,22.68,都市：住
RPVPMLLJIINFFCB97CC,何安段,.00,都市：住
RPXPMLMJIINFFIB88CC,練武段,23.46,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLMJIINFFAB67CC,麻園頭段,13.52,都市：住
RPXNMLMJIINFFAB87CC,麻園頭段,19.36,都市：住
RPUNMLMJIINFFAB57CC,下橋子頭段,.00,都市：商
RPXOMLMJIINFFAB97CC,下橋子頭段,19.86,都市：住
RPROMLMJIINFFAB37CC,後子段,4.04,都市：商
RPROMLMJIINFFAB37CC,後子段,.75,都市：商
RPTNMLMJIINFFDB77CC,福隆段,187.42,都市：住
RPTNMLMJIINFFKB48CC,遊園段,46.25,非都市：鄉村區 ; 非都市編定：特定目的事業用地
RPRNMLLJIINFFBB27CC,東正段,.00,都市：商
RPOPMLMJIINFFAB17CC,下橋子頭段,2.71,都市：住
RPSPMLMJIINFFCB77CC,豐功段,52.51,都市：住
