編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPSQMLLJIINFFCB77CC,坡道平面,2500,37.80
RPPOMLLJIINFFIB87CC,坡道平面,0,27.13
RPPOMLLJIINFFIB87CC,坡道平面,0,27.13
RPORMLLJIINFFCB47CC,坡道平面,0,
RPXNMLLJIINFFIB58CC,坡道平面,0,31.54
RPUNMLMJIINFFAB57CC,坡道平面,0,
RPSPMLMJIINFFCB77CC,坡道平面,0,26.25
RPSPMLMJIINFFCB77CC,坡道平面,0,26.25
RPSQMLMJIINFFCB87CC,坡道機械,0,18.57
RPQTMLMJIINFFCB97CC,坡道平面,0,
RPUNMLMJIINFFBB67CC,坡道平面,0,
RPWPMLMJIINFFBB08CC,坡道平面,0,23.59
RPXNMLMJIINFFBB97CC,坡道機械,0,16.53
RPOQMLMJIINFFBB37CC,坡道平面,0,31.30
RPQOMLMJIINFFBB37CC,坡道平面,0,34.81
RPOPMLNJIINFFBB37CC,坡道機械,0,15.94
RPTOMLNJIINFFBB77CC,坡道平面,3500,31.88
RPWOMLNJIINFFBB08CC,坡道平面,3500,27.90
RPVQMLNJIINFFCB28CC,坡道平面,0,28.75
RPVQMLNJIINFFCB28CC,坡道平面,0,32.17
RPOQMLNJIINFFBB47CC,坡道機械,2500,15.94
RPRPMLNJIINFFCB77CC,坡道平面,0,13.86
RPVNMLOJIINFFCB08CC,坡道平面,0,28.11
RPWNMLOJIINFFAB97CC,坡道機械,0,13.05
RPTOMLOJIINFFBB87CC,坡道平面,0,
RPTOMLOJIINFFBB87CC,坡道平面,0,
RPROMLOJIINFFCB77CC,坡道平面,0,28.42
RPUOMLOJIINFFCB08CC,坡道平面,0,20.96
RPUOMLOJIINFFCB08CC,坡道平面,0,20.96
RPSNMLOJIINFFBB67CC,坡道平面,0,92.44
RPXOMLPJIINFFBB38CC,坡道平面,3500,31.88
RPWNMLPJIINFFCB28CC,坡道平面,0,25.76
RPWNMLOJIINFFBB18DC,坡道平面,0,23.31
RPWOMLPJIINFFBB28CC,坡道平面,3200,49.46
RPTOMLPJIINFFCB08CC,坡道平面,0,
RPUOMLPJIINFFCB18CC,坡道平面,0,
RPOOMLOJIINFFCB47CC,坡道機械,0,17.81
RPVOMLPJIINFFCB28CC,坡道平面,0,
RPQPMLPJIINFFCB87CC,坡道平面,0,
RPQPMLPJIINFFCB87CC,坡道平面,0,
RPOOMLPJIINFFCB57CC,坡道平面,0,37.80
RPUNMLPJIINFFIB68CC,坡道平面,0,34.34
RPVNMLPJIINFFAB97CC,坡道機械,0,
RPPNMLSJIINFFDB97CC,坡道平面,0,23.32
RPSQMLSJIINFFCB48CC,坡道平面,0,
RPRQMLSJIINFFCB38CC,坡道平面,3300,37.80
RPQOMLPJIINFFIB38CC,坡道平面,0,27.22
RPQPMLTJIINFFCB28CC,坡道平面,0,20.10
RPQPMLTJIINFFCB28CC,坡道平面,0,20.10
RPQPMLSJIINFFAB97CC,坡道機械,0,7.51
RPTPMLTJIINFFCB58CC,坡道平面,0,20.09
RPTPMLTJIINFFCB58CC,坡道平面,0,20.09
RPTPMLTJIINFFCB58CC,坡道平面,0,20.09
RPQNMLTJIINFFHB58CC,坡道平面,0,72.99
RPSOMLTJIINFFCB38CC,坡道平面,0,28.85
RPSOMLTJIINFFCB38CC,坡道平面,0,28.85
RPWNMLTJIINFFIB66CC,升降機械,0,193.76
RPXNMLTJIINFFAB58CC,坡道平面,0,
