鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
永康區,建物,臺南市永康區中華路7巷1~30號,0.0,住,,,1070901,土地0建物1車位0,十六層,19,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1010817,88.38,2,2,1,有,無,有,25000,283,,0.0,0,,RPSNMLLJIINFFKD48CC
永康區,建物,臺南市永康區中華二路266巷31~60號,0.0,住,,,1070928,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0870602,31.45,1,1,1,有,有,有,8900,283,,0.0,0,,RPOOMLMJIINFFKD28CC
安平區,房地(土地+建物),臺南市安平區永華六街22巷1~30號,23.72,住,,,1070920,土地1建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820703,148.05,3,2,2,有,有,無,16000,108,,0.0,0,,RPRNMLMJIINFFAD57DC
中西區,建物,臺南市中西區民生路一段157巷1~30號,0.0,其他,,,1070912,土地0建物1車位0,一層,5,店面(店鋪),住家用,鋼筋混凝土造,0850319,68.26,2,2,2,有,無,有,20000,293,,0.0,0,,RPXNMLMJIINFFAD08CC
北區,建物,臺南市北區北園街80巷1~30號,0.0,住,,,1070921,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0641204,38.8,0,1,1,有,無,無,10000,258,,0.0,0,,RPROMLMJIINFFAD57CC
安平區,建物,臺南市安平區慶平路181~210號,0.0,商,,,1070924,土地0建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841024,37.08,1,0,1,有,有,有,7500,202,,0.0,0,,RPSOMLMJIINFFAD67CC
北區,建物,臺南市北區開元路485巷1~30號,0.0,商,,,1070930,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0701228,60.61,1,1,1,有,有,有,8000,132,,0.0,0,,RPRPMLMJIINFFAD67CC
北區,建物,臺南市北區勝利路211~240號,0.0,住,,,1070925,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810813,43.44,1,1,1,有,無,有,8500,196,,0.0,0,,RPUPMLMJIINFFAD97CC
東區,建物,臺南市東區東門路二段365巷33弄1~30號,0.0,住,,,1070918,土地0建物0車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土構造,0990915,33.06,1,0,1,有,無,有,8500,257,,0.0,0,,RPSOMLMJIINFFCD87CC
