編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLMJIINFFKD28CC,20,31.45,住家用,鋼筋混凝土構造,87年6月2日,七層,
RPWOMLMJIINFFCD28CC,24,62.07,住家用,鋼筋混凝土構造,84年3月25日,十四層,
RPXOMLMJIINFFCD38CC,38,181.83,住商用,鋼筋混凝土構造,69年12月17日,三層,
RPSOMLMJIINFFCD87CC,8,33.06,見其他登記事項,鋼筋混凝土構造,99年9月15日,三層,
RPWPMLMJIINFFCD38CC,11,412.10,見其他登記事項,鋼筋混凝土構造,96年8月17日,一層,
RPTPMLMJIINFFCD08CC,2,205.16,見其他登記事項,鋼筋混凝土構造,106年1月9日,五層,
RPTPMLMJIINFFCD08CC,2,50.46,見其他登記事項,鋼筋混凝土構造,106年1月9日,五層,
RPSNMLLJIINFFKD48CC,6,59.03,見其他登記事項,見其他登記事項,101年8月17日,十九層,
RPSNMLLJIINFFKD48CC,6,29.35,見其他登記事項,見其他登記事項,101年8月17日,十九層,
RPTNMLNJIINFFCD97CC,38,147.45,住家用,鋼筋混凝土構造,69年12月20日,三層,
RPVNMLNJIINFFKD98CC,37,70.74,住家用,鋼筋混凝土構造,70年12月7日,五層,
RPVNMLNJIINFFKD98CC,37,13.27,共有部分,鋼筋混凝土構造,70年12月7日,五層,
RPRNMLNJIINFFKD58CC,22,76.22,國民住宅,鋼筋混凝土構造,86年1月28日,十九層,
RPRNMLNJIINFFKD58CC,22,8.21,共有部分,鋼筋混凝土構造,86年1月28日,十九層,
RPRNMLNJIINFFKD58CC,22,14.32,共有部分,鋼筋混凝土構造,86年1月28日,十九層,
RPUNMLOJIINFFKD98CC,28,87.14,住家用,鋼筋混凝土構造,79年11月7日,六層,
RPUNMLOJIINFFKD98CC,28,25.72,共有部分,鋼筋混凝土構造,79年11月7日,六層,
RPOOMLOJIINFFCD67CC,11,23.20,住家用,鋼筋混凝土構造,97年2月29日,十四層,
RPOOMLOJIINFFCD67CC,11,5.74,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
RPOOMLOJIINFFCD67CC,11,7.56,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
RPRPMLMJIINFFAD67CC,37,60.61,住家用,鋼筋混凝土造,70年12月28日,十二層,
RPSOMLMJIINFFAD67CC,23,37.08,住家用,鋼筋混凝土造,84年10月24日,十三層,
RPXNMLMJIINFFAD08CC,22,64.06,住家用,鋼筋混凝土造,85年3月19日,五層,
RPXNMLMJIINFFAD08CC,22,4.20,共有部分,鋼筋混凝土造,85年3月19日,五層,
RPRNMLMJIINFFAD57DC,25,148.05,住家用,鋼筋混凝土造,82年7月3日,六層,
RPROMLMJIINFFAD57CC,43,38.80,住商用,加強磚造,64年12月4日,二層,
RPUPMLMJIINFFAD97CC,26,43.44,住家用,鋼筋混凝土造,81年8月13日,五層,
RPVNMLPJIINFFCD38CC,3,253.34,見其他登記事項,鋼筋混凝土構造,104年4月16日,四層,
RPRNMLOJIINFFAD67CC,45,284.59,住家用,加強磚造,62年4月2日,三層,
RPWNMLPJIINFFBD38CC,28,141.14,住商用,鋼筋混凝土構造,80年2月4日,二層,
RPPNMLSJIINFFKD88CC,29,117.84,見其他登記事項,鋼筋混凝土構造,79年3月17日,十六層,
RPPNMLSJIINFFKD88CC,29,117.84,見其他登記事項,鋼筋混凝土構造,79年3月17日,十六層,
RPTNMLOJIINFFAD87CC,23,34.29,住商用,鋼筋混凝土造,84年8月29日,十七層,
RPTNMLOJIINFFAD87CC,23,52.29,住商用,鋼筋混凝土造,84年8月29日,十七層,
RPTNMLOJIINFFAD87CC,23,52.29,住商用,鋼筋混凝土造,84年8月29日,十七層,
