編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOOMLMJIINFFKD28CC,兵北段,.00,都市：住
RPWOMLMJIINFFCD28CC,新東段,.00,都市：商
RPWOMLMJIINFFCD28CC,新東段,.00,都市：住
RPXOMLMJIINFFCD38CC,竹篙厝段,.00,都市：住
RPSOMLMJIINFFCD87CC,關帝段,.00,都市：住
RPWPMLMJIINFFCD38CC,裕東段,982.01,都市：住
RPTPMLMJIINFFCD08CC,公英段,.00,都市：住
RPTPMLMJIINFFCD08CC,公英段,.00,都市：住
RPTPMLMJIINFFCD08CC,公英段,.00,都市：住
RPSNMLLJIINFFKD48CC,兵南段,.00,都市：住
RPTNMLNJIINFFCD97CC,光明段,.00,都市：住
RPVNMLNJIINFFKD98CC,南工段,.00,都市：商
RPRNMLNJIINFFKD58CC,兵北段,.00,都市：住
RPUNMLOJIINFFKD98CC,六甲頂段,.00,都市：住
RPUNMLOJIINFFKD98CC,六甲頂段,.00,都市：住
RPOOMLOJIINFFCD67CC,虎尾寮段,3.17,都市：商
RPRPMLMJIINFFAD67CC,開元段,.00,都市：商
RPSOMLMJIINFFAD67CC,金華段,.00,都市：商
RPXNMLMJIINFFAD08CC,保西段,.00,都市：商
RPXNMLMJIINFFAD08CC,保西段,.00,都市：商
RPXNMLMJIINFFAD08CC,保西段,.00,都市：商
RPXNMLMJIINFFAD08CC,保西段,.00,都市：其他
RPXNMLMJIINFFAD08CC,保西段,.00,都市：其他
RPRNMLMJIINFFAD57DC,金華段,23.72,都市：住
RPROMLMJIINFFAD57CC,開元段,.00,都市：住
RPUPMLMJIINFFAD97CC,東豐段,.00,都市：住
RPUPMLMJIINFFAD97CC,東豐段,.00,都市：住
RPVNMLPJIINFFCD38CC,裕東段,.00,都市：住
RPRNMLOJIINFFAD67CC,保西段,97.77,都市：商
RPRNMLOJIINFFAD67CC,保西段,2.79,都市：其他
RPRNMLOJIINFFAD67CC,保西段,106.64,都市：商
RPRNMLQJIINFFBD97CC,本淵段,350.00,都市：農
RPQNMLQJIINFFBD87CC,本淵段,350.00,都市：農
RPSNMLQJIINFFBD08CC,本淵段,330.00,都市：農
RPWNMLPJIINFFBD38CC,州南段,.00,都市：住
RPPNMLSJIINFFKD88CC,五王段,25.50,都市：住
RPTNMLOJIINFFAD87CC,金華段,14.28,都市：商
RPVQMLSJIINFFCD98CC,水交社段,.00,都市：住
RPVQMLSJIINFFCD98CC,水交社段,.00,都市：住
RPVQMLSJIINFFCD98CC,水交社段,.00,都市：住
RPVQMLSJIINFFCD98CC,水交社段,.00,都市：住
RPVQMLSJIINFFCD98CC,水交社段,.00,都市：住
RPVQMLSJIINFFCD98CC,水交社段,.00,都市：住
RPWOMLPJIINFFAD48DC,漁光段,16.12,都市：商
RPQOMLTJIINFFKD56CC,勝利段,.00,都市：住
RPPOMLTJIINFFKD09CC,兵北段,.00,都市：住
RPOOMLTJIINFFBD08CC,神榕段,.00,都市：住
RPRRMLTJIINFFCD78CC,富強段,.00,都市：住
RPROMLTJIINFFID09CC,歸仁北段,.00,都市：住
RPVRMLTJIINFFCD56CC,新東段,.00,都市：住
RPOOMLSJIINFFAD87CC,郡王祠段,.00,都市：住
RPROMLTJIINFFAD28CC,萬昌段,.00,都市：商
RPROMLTJIINFFAD28CC,萬昌段,.00,都市：商
RPQNMLKKIINFFHD97CC,光華段,15.28,都市：住
RPXNMLSJIINFFAD68CC,北元段,254.86,都市：住
RPPNMLKKIINFFHD87CC,曾文段,68.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLKKIINFFHD87CC,曾文段,26.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
