編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLLJIINFFDE87CC,39,21.45,,鋼筋混凝土造,69年2月11日,四層,
RPQOMLLJIINFFDE77CC,39,21.45,,鋼筋混凝土造,69年2月11日,四層,
RPUNMLLJIINFFBE87CC,6,49.06,住家用,鋼筋混凝土造,101年5月9日,十四層,
RPUNMLLJIINFFBE87CC,6,28.23,見其他登記事項,鋼筋混凝土造,101年5月9日,十四層,
RPVNMLLJIINFFBE97CC,6,50.26,住家用,鋼筋混凝土造,101年5月9日,十四層,
RPVNMLLJIINFFBE97CC,6,28.92,見其他登記事項,鋼筋混凝土造,101年5月9日,十四層,
RPRNMLLJIINFFBE57CC,11,64.39,住家用,鋼筋混凝土造,96年4月13日,十五層,
RPRNMLLJIINFFBE57CC,11,29.27,共有部分,鋼筋混凝土造,96年4月13日,十五層,
RPTOMLLJIINFFBE87CC,9,132.73,住家用,鋼筋混凝土造,98年5月14日,二十三層,
RPTOMLLJIINFFBE87CC,9,39.66,住家用,鋼筋混凝土造,98年5月14日,二十三層,
RPTOMLLJIINFFBE87CC,9,91.94,見其他登記事項,鋼筋混凝土造,98年5月14日,二十八層,
RPUOMLLJIINFFBE97CC,7,131.26,住家用,鋼筋混凝土造,101年2月15日,十五層,
RPUOMLLJIINFFBE97CC,7,17.72,住家用,鋼筋混凝土造,101年2月15日,十五層,
RPUOMLLJIINFFBE97CC,7,89.96,見其他登記事項,鋼筋混凝土造,101年2月15日,十五層,
RPSOMLLJIINFFBE77CC,37,63.83,,鋼筋混凝土造,71年1月14日,四層,
RPVOMLLJIINFFEE38CC,8,474.11,住商用,鋼筋混凝土造,100年1月19日,五層,
RPPPMLLJIINFFEE87CC,36,316.93,,鋼筋混凝土造,71年9月20日,五層,
RPSNMLMJIINFFEE08CC,38,19.83,,鋼筋混凝土造,70年3月18日,五層,
RPVNMLMJIINFFEE38CC,7,253.71,住商用,鋼筋混凝土造,100年10月3日,十三層,
RPVNMLMJIINFFEE38CC,7,84.56,共有部分,鋼筋混凝土造,100年10月3日,十三層,
RPUNMLMJIINFFFE38CC,22,73.60,農舍,鋼造,85年12月6日,一層,
RPTOMLMJIINFFGE48CC,15,86.14,見其他登記事項,鋼筋混凝土造,92年7月1日,十四層,
RPTOMLMJIINFFGE48CC,15,58.94,見其他登記事項,鋼筋混凝土造,92年7月1日,十四層,
RPRNMLLJIINFFIE28CC,6,284.64,見其他登記事項,鋼筋混凝土造,101年8月7日,四層,
RPQNMLLJIINFFLE48CC,24,99.34,住商用,鋼筋混凝土造,84年1月6日,十層,
RPQNMLLJIINFFLE48CC,24,23.70,共有部份,鋼筋混凝土造,84年1月6日,十層,
RPVPMLMJIINFFEE58CC,14,186.26,住商用,鋼筋混凝土造,94年1月26日,四層,
RPSPMLMJIINFFEE28CC,28,370.25,住家用,鋼筋混凝土造,79年6月7日,十八層,
RPTNMLLJIINFFIE48CC,11,200.46,見其他登記事項,鋼筋混凝土造,97年2月21日,四層,
RPTPMLMJIINFFEE38CC,18,59.32,住家用,見使用執照,89年6月7日,二十一層,
RPTPMLMJIINFFEE38CC,18,27.52,見使用執照,見使用執照,89年6月7日,二十一層,
RPWNMLMJIINFFEE48CC,12,220.67,商業用,鋼筋混凝土造,95年11月27日,十五層,
RPWNMLMJIINFFEE48CC,12,96.23,見其它登記事項,鋼筋混凝土造,95年11月27日,十五層,
RPPOMLMJIINFFDE77CC,31,97.27,,鋼筋混凝土造,76年5月4日,五層,
RPPOMLMJIINFFDE77CC,31,7.67,,鋼筋混凝土造,76年5月4日,五層,
RPSNMLMJIINFFBE77CC,29,98.42,,鋼筋混凝土造,78年11月9日,十二層,
RPTNMLMJIINFFBE87CC,21,120.61,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPXNMLMJIINFFBE28CC,31,157.09,,鋼筋混凝土造,77年1月13日,十二層,
RPXNMLMJIINFFBE28CC,31,21.79,,鋼筋混凝土造,77年1月13日,十二層,
RPQNMLMJIINFFBE57CC,29,675.10,,鋼筋混凝土造,78年4月15日,五層,
RPWOMLMJIINFFDE48CC,38,100.76,,鋼筋混凝土造,69年12月29日,四層,
RPROMLMJIINFFDE97CC,6,73.43,住家用,鋼筋混凝土造,101年6月5日,二十二層,
RPROMLMJIINFFDE97CC,6,21.09,住家用,鋼筋混凝土造,101年6月5日,二十二層,
RPROMLMJIINFFDE97CC,6,51.88,共有部分,鋼筋混凝土造,101年6月5日,二十二層,
RPWNMLMJIINFFDE38CC,11,220.18,住商用,鋼筋混凝土造,96年9月19日,五層,
RPWNMLNJIINFFCE38CC,25,134.62,住商用,鋼筋混凝土造,82年7月30日,二十四層,
RPWNMLNJIINFFCE38CC,25,73.24,見使用執照,鋼筋混凝土造,82年7月30日,二十四層,
RPQNMLNJIINFFCE77CC,12,112.16,住家用,見其它登記事項,95年11月21日,十五層,
RPQNMLNJIINFFCE77CC,12,21.00,住家用,見其它登記事項,95年11月21日,十五層,
RPQNMLNJIINFFCE77CC,12,81.10,共有部份,見其它登記事項,95年11月21日,十五層,
RPXOMLMJIINFFAE28CC,3,54.07,住家用,鋼筋混凝土造,104年7月31日,十五層,
RPXOMLMJIINFFAE28CC,3,28.35,見其它登記事項,鋼筋混凝土造,104年7月31日,十五層,
RPTOMLMJIINFFAE87CC,10,89.54,住家用,鋼筋混凝土造,97年8月26日,二十四層,
RPTOMLMJIINFFAE87CC,10,35.22,共有部分,鋼筋混凝土造,97年8月26日,二十四層,
RPOPMLMJIINFFAE47CC,34,95.80,,鋼筋混凝土造,73年4月2日,五層,
RPPNMLNJIINFFAE47CC,6,59.22,住家用,鋼筋混凝土造,101年11月7日,十五層,
RPPNMLNJIINFFAE47CC,6,8.41,住家用,鋼筋混凝土造,101年11月7日,十五層,
RPPNMLNJIINFFAE47CC,6,93.67,見其它登記事項,鋼筋混凝土造,101年11月7日,十五層,
RPUOMLMJIINFFCE18CC,11,91.66,住家用,鋼筋混凝土造,96年5月9日,二十七層,
RPUOMLMJIINFFCE18CC,11,52.07,共有部份,鋼筋混凝土造,96年5月9日,二十七層,
RPTOMLMJIINFFCE08CC,11,91.66,住家用,鋼筋混凝土造,96年5月9日,二十七層,
RPTOMLMJIINFFCE08CC,11,52.07,共有部份,鋼筋混凝土造,96年5月9日,二十七層,
RPTNMLNJIINFFBE97CC,32,94.27,,鋼筋混凝土造,75年5月8日,十二層,
RPSNMLMJIINFFCE87CC,47,86.26,商業用,加強磚造,60年9月1日,二層,
RPVOMLNJIINFFBE28CC,41,81.54,,鋼筋混凝土造,66年5月26日,五層,
RPSNMLNJIINFFBE87CC,3,40.63,住家用,鋼筋混凝土造,104年10月23日,十五層,
RPSNMLNJIINFFBE87CC,3,6.41,住家用,鋼筋混凝土造,104年10月23日,十五層,
RPSNMLNJIINFFBE87CC,3,25.14,共有部分,鋼筋混凝土造,104年10月23日,十五層,
RPWNMLNJIINFFBE28CC,29,409.40,,鋼筋混凝土造,78年11月28日,十二層,
RPOOMLNJIINFFBE57CC,60,60.00,住家用,加強磚造,48年3月24日,二層,
RPOOMLNJIINFFEE87CC,39,81.30,,鋼筋混凝土造,68年12月6日,四層,
RPROMLNJIINFFBE87CC,42,7.87,,鋼筋混凝土造,65年11月24日,十層,
RPUOMLNJIINFFBE18CC,33,279.47,,鋼筋混凝土造,74年10月22日,二十一層,
RPUOMLNJIINFFBE18CC,33,130.08,,鋼筋混凝土造,74年10月22日,二十一層,
RPWOMLMJIINFFCE38CC,32,94.79,,鋼筋混凝土造,75年7月30日,二層,
RPVNMLNJIINFFBE18CC,38,59.11,,鋼筋混凝土造,69年11月5日,五層,
RPVNMLNJIINFFBE18CC,38,85.94,,鋼筋混凝土造,69年11月5日,五層,
RPOOMLOJIINFFLE68CC,17,163.38,見其他登記事項,鋼筋混凝土造,90年5月28日,三層,
RPXOMLNJIINFFGE98CC,39,119.33,住商用,鋼筋混凝土造,68年5月1日,五層,
RPOOMLOJIINFFGE18CC,,118.14,見其他登記事項,見其他登記事項,103年9月25日,二層,
RPRQMLOJIINFFEE48CC,4,64.93,住家用,見其它登記事項,103年7月16日,十五層,
RPRQMLOJIINFFEE48CC,4,29.02,見其它登記事項,見其它登記事項,103年7月16日,十五層,
RPTNMLOJIINFFBE08CC,35,37.35,,鋼筋混凝土造,72年5月5日,十二層,
RPTNMLOJIINFFBE08CC,35,8.04,,鋼筋混凝土造,72年5月5日,十二層,
RPOQMLOJIINFFEE18CC,29,13.22,見使用執照,鋼筋混凝土造,79年3月26日,十九層,
RPXPMLOJIINFFEE98CC,4,50.38,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPXPMLOJIINFFEE98CC,4,5.87,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPXPMLOJIINFFEE98CC,4,58.38,見其它登記事項,鋼筋混凝土造,103年3月27日,十五層,
RPUPMLOJIINFFEE68CC,13,68.87,住家用,鋼筋混凝土造,95年3月6日,十五層,
RPUPMLOJIINFFEE68CC,13,9.21,住家用,鋼筋混凝土造,95年3月6日,十五層,
RPUPMLOJIINFFEE68CC,13,31.23,見其它登記事項,鋼筋混凝土造,95年3月6日,十五層,
RPUNMLOJIINFFBE18CC,22,34.63,住家用,鋼筋混凝土造,86年2月27日,二十四層,
RPUNMLOJIINFFBE18CC,22,11.70,見使用執照,鋼筋混凝土造,86年2月27日,二十四層,
RPWNMLOJIINFFBE38CC,6,49.06,住家用,鋼筋混凝土造,101年5月9日,十四層,
RPWNMLOJIINFFBE38CC,6,28.23,見其他登記事項,鋼筋混凝土造,101年5月9日,十四層,
RPOOMLOJIINFFBE67CC,6,49.06,住家用,鋼筋混凝土造,101年5月9日,十四層,
RPOOMLOJIINFFBE67CC,6,45.21,見其他登記事項,鋼筋混凝土造,101年5月9日,十四層,
RPUOMLOJIINFFBE28CC,29,50.22,,鋼筋混凝土造,78年11月9日,十二層,
RPWQMLOJIINFFEE98CC,7,49.06,住家用,鋼筋混凝土造,100年7月14日,十三層,
RPVQMLOJIINFFEE88CC,7,49.06,住家用,鋼筋混凝土造,100年7月14日,十三層,
RPWQMLOJIINFFEE98CC,7,24.75,見其它登記事項,鋼筋混凝土造,100年7月14日,十三層,
RPVQMLOJIINFFEE88CC,7,24.75,見其它登記事項,鋼筋混凝土造,100年7月14日,十三層,
RPWNMLOJIINFFDE58CC,29,166.79,,鋼筋混凝土造,78年9月13日,十六層,
RPXOMLOJIINFFBE58CC,13,153.50,住家用,鋼筋混凝土造,94年12月20日,十層,
RPXOMLOJIINFFBE58CC,13,22.06,住家用,鋼筋混凝土造,94年12月20日,十層,
RPXOMLOJIINFFBE58CC,13,116.00,見其他登記事項,鋼筋混凝土造,94年12月20日,十層,
RPQOMLOJIINFFBE87CC,1,40.94,住家用,鋼筋混凝土造,106年5月24日,十三層,
RPQOMLOJIINFFBE87CC,1,9.11,住家用,鋼筋混凝土造,106年5月24日,十三層,
RPQOMLOJIINFFBE87CC,1,36.72,共有部分,鋼筋混凝土造,106年5月24日,十三層,
RPTNMLNJIINFFDE18CC,23,84.24,商業用,鋼筋混凝土造,84年10月13日,七層,
RPUNMLOJIINFFAE08CC,4,57.08,住家用,鋼筋混凝土造,103年9月25日,十五層,
RPUNMLOJIINFFAE08CC,4,33.18,見其它登記事項,鋼筋混凝土造,103年9月25日,十五層,
RPQPMLOJIINFFAE87CC,29,118.70,住家用,鋼筋混凝土造,78年11月27日,十九層,
RPQPMLOJIINFFAE87CC,29,23.15,住家用,鋼筋混凝土造,78年11月27日,十九層,
RPQPMLOJIINFFAE87CC,29,31.15,見使用執照,鋼筋混凝土造,78年11月27日,十九層,
RPTNMLPJIINFFCE28CC,13,63.65,住家用,鋼筋混凝土造,94年3月30日,十五層,
RPTNMLPJIINFFCE28CC,13,45.11,共有部份,鋼筋混凝土造,94年3月30日,十五層,
RPTNMLOJIINFFCE18CC,20,140.60,住家用,見其它登記事項,88年2月9日,三十九層,
RPTNMLOJIINFFCE18CC,20,49.35,共有部份,見其它登記事項,88年2月9日,三十九層,
RPOOMLPJIINFFCE87CC,37,83.64,,鋼筋混凝土造,70年7月11日,五層,
RPWOMLPJIINFFCE68CC,25,135.00,商業用,鋼筋混凝土造,82年10月8日,十三層,
RPUNMLPJIINFFCE38CC,38,53.54,,鋼筋混凝土造,69年6月19日,五層,
RPVNMLPJIINFFCE48CC,38,53.54,,鋼筋混凝土造,69年6月19日,五層,
RPXOMLPJIINFFCE78CC,25,150.00,商業用,鋼筋混凝土造,82年10月8日,十三層,
RPSNMLPJIINFFAE97CC,7,41.57,住家用,鋼筋混凝土造,100年10月7日,十五層,
RPSNMLPJIINFFAE97CC,7,7.77,住家用,鋼筋混凝土造,100年10月7日,十五層,
RPSNMLPJIINFFAE97CC,7,33.06,見其它登記事項,鋼筋混凝土造,100年10月7日,十五層,
RPWNMLPJIINFFCE58CC,11,84.79,住家用,鋼筋混凝土造,96年5月9日,二十七層,
RPWNMLPJIINFFCE58CC,11,12.97,住家用,鋼筋混凝土造,96年5月9日,二十七層,
RPWNMLPJIINFFCE58CC,11,54.24,共有部份,鋼筋混凝土造,96年5月9日,二十七層,
RPXNMLPJIINFFCE68CC,13,53.46,住家用,鋼筋混凝土造,95年3月14日,十四層,
RPXNMLPJIINFFCE68CC,13,5.62,住家用,鋼筋混凝土造,95年3月14日,十四層,
RPXNMLPJIINFFCE68CC,13,49.87,共有部份,鋼筋混凝土造,95年3月14日,十四層,
RPPOMLPJIINFFDE08CC,25,115.75,住家用,鋼筋混凝土造,82年5月22日,十二層,
RPPOMLPJIINFFDE08CC,25,46.23,見使用執照,鋼筋混凝土造,82年5月22日,十二層,
RPUNMLPJIINFFEE58CC,4,50.38,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPUNMLPJIINFFEE58CC,4,5.87,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPUNMLPJIINFFEE58CC,4,54.53,見其它登記事項,鋼筋混凝土造,103年3月27日,十五層,
RPVPMLPJIINFFEE88CC,24,137.64,住家用,鋼筋混凝土造,83年7月1日,十二層,
RPVPMLPJIINFFEE88CC,24,39.06,見使用執照,鋼筋混凝土造,83年7月1日,十二層,
RPXNMLPJIINFFEE88CC,31,324.53,,鋼筋混凝土造,76年9月25日,四層,
RPWNMLPJIINFFEE78CC,28,68.75,住家用,鋼筋混凝土造,80年1月2日,七層,
RPROMLOJIINFFCE08CC,8,50.87,住家用,鋼筋混凝土造,100年1月25日,十五層,
RPROMLOJIINFFCE08CC,8,27.38,見其它登記事項,鋼筋混凝土造,100年1月25日,十五層,
RPUNMLPJIINFFBE28CC,32,139.17,,鋼筋混凝土造,76年1月6日,十二層,
RPUNMLPJIINFFBE28CC,32,41.50,,鋼筋混凝土造,76年1月6日,十二層,
RPVNMLPJIINFFFE78CC,20,132.66,農舍,鋼造,87年12月17日,一層,
RPWOMLPJIINFFBE58CC,38,18.76,,鋼筋混凝土造,69年10月14日,五層,
RPWNMLPJIINFFAE38CC,5,159.36,住家用,鋼筋混凝土造,102年5月22日,二十四層,
