編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPROMLLJIINFFDE87CC,大港段二小段,.00,都市：住
RPQOMLLJIINFFDE77CC,大港段二小段,.00,都市：住
RPUNMLLJIINFFBE87CC,新興段三小段,.00,都市：商
RPOOMLLJIINFFBE37CC,意誠段,.00,都市：商
RPPOMLLJIINFFBE47CC,意誠段,.00,都市：商
RPVNMLLJIINFFBE97CC,新興段三小段,.00,都市：商
RPRNMLLJIINFFBE57CC,新興段二小段,8.69,都市：商
RPTOMLLJIINFFBE87CC,五權段,5.94,都市：住
RPUOMLLJIINFFBE97CC,過田子段,23.77,都市：住
RPSOMLLJIINFFBE77CC,新興段四小段,.00,都市：商
RPVOMLLJIINFFEE38CC,新福段七小段,161.55,都市：住
RPPPMLLJIINFFEE87CC,楠都段三小段,71.00,都市：商
RPSNMLMJIINFFEE08CC,左東段,.00,都市：住
RPVNMLMJIINFFEE38CC,新光段,.00,都市：住
RPVNMLMJIINFFFE48CC,子段,2341.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLMJIINFFFE38CC,台安段,727.57,都市：農
RPTOMLMJIINFFGE48CC,大貝湖段,21.98,都市：住
RPRNMLLJIINFFIE28CC,北屋段,133.11,都市：住
RPRNMLLJIINFFIE28CC,北屋段,.12,都市：住
RPRNMLLJIINFFIE28CC,北屋段,.58,都市：住
RPQNMLLJIINFFLE48CC,山子頂段,26.82,都市：住
RPVPMLMJIINFFEE58CC,福山段,.00,都市：住
RPSPMLMJIINFFEE28CC,新庄段十二小段,60.56,都市：住
RPTNMLLJIINFFIE48CC,澄清段,94.90,都市：住
RPTPMLMJIINFFEE38CC,新庄段十三小段,6.72,都市：商
RPWNMLMJIINFFEE48CC,新庄段十三小段,.00,都市：商
RPPOMLMJIINFFDE77CC,獅頭段,.00,都市：商
RPSNMLMJIINFFBE77CC,過田子段,.00,都市：商
RPTNMLMJIINFFBE87CC,意誠段,.00,都市：商
RPXNMLMJIINFFBE28CC,林德官段一小段,15.37,都市：商
RPQNMLMJIINFFBE57CC,五塊厝段,147.00,都市：商
RPWOMLMJIINFFDE48CC,建昌段,84.00,都市：住
RPROMLMJIINFFDE97CC,水源段,11.29,都市：住
RPWNMLMJIINFFDE38CC,建民段,.00,都市：商
RPWNMLMJIINFFDE38CC,建民段,.00,都市：商
