鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
新莊區,建物,新北市新莊區新莊路361~390號,0.0,商,,,1071001,土地0建物1車位0,一層,2,店面(店鋪),住家用,加強磚造,0570201,124.88,0,0,0,無,無,無,48000,384,,0.0,0,只出租建物坪數1/2,RPRSMLLJIINFFBF18CC
新店區,房地(土地+建物)+車位,新北市新店區北新路一段1~30號,351.04,其他,,,1070730,土地1建物1車位1,二層,18,辦公商業大樓,商業用,鋼骨混凝土造,0880827,232.61,0,0,0,無,無,無,60000,258,坡道機械,0.0,0,,RPQOMLLJIINFFCF77CC
三峽區,房地(土地+建物),新北市三峽區白雞61~90號,150.0,,山坡地保育區,丁種建築用地,1070918,土地4建物1車位0,見其他登記事項,1,工廠,見其他登記事項,見其他登記事項,0950705,1941.35,0,0,0,無,無,無,309750,,,0.0,0,本承租案只有建物右2棟,RPQNMLLJIINFFIF28CC
新莊區,房地(土地+建物),新北市新莊區八德街58巷18弄1~30號,25.15,商,,,1070709,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750325,94.22,3,2,2,有,無,有,15000,159,,0.0,0,,RPQOMLMJIINFFBF87DC
五股區,房地(土地+建物),新北市五股區中興路一段31~60號,141.01,工,,,1070730,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0770708,413.64,0,0,0,無,無,無,60000,145,,0.0,0,承租人承租範圍1-3樓.4樓部分所有權人自用,RPTUMLMJIINFFBF78DC
板橋區,建物,新北市板橋區陽明街61~90號,0.0,住,,,1070825,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,,96.48,0,0,0,無,無,無,60000,622,,0.0,0,,RPRNMLMJIINFFAF87EC
板橋區,房地(土地+建物),新北市板橋區文化路一段331~360號,2.18,住,,,1070820,土地1建物1車位0,十二層,40,套房(1房1廳1衛),住家用,見其他登記事項,0990715,42.5,1,0,0,無,有,有,24500,576,,0.0,0,,RPSNMLMJIINFFAF97EC
汐止區,房地(土地+建物),新北市汐止區大同路三段601~630號,8.53,住,,,1070908,土地1建物1車位0,二十八層,32,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,91.25999999999999,3,2,2,有,有,無,14000,153,,0.0,0,含管理費(每坪50元)。,RPPNMLMJIINFFDF97EC
汐止區,房地(土地+建物),新北市汐止區大同路三段601~630號,3.51,住,,,1070908,土地1建物1車位0,二十層,33,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,41.79,1,1,1,有,有,有,9000,215,,0.0,0,含管理費(每坪50元)。,RPRNMLMJIINFFDF18EC
汐止區,房地(土地+建物),新北市汐止區大同路三段601~630號,3.91,住,,,1070926,土地1建物1車位0,七層,32,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,41.72,1,1,1,有,有,有,9000,216,,0.0,0,含管理費(每坪50元)。,RPSNMLMJIINFFDF28EC
三峽區,土地,仁愛段121~150地號,144.97,住,,,1070911,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,28000,193,,0.0,0,建物未保存登記,RPROMLMJIINFFIF78EC
淡水區,建物,新北市淡水區民族路61~90號,0.0,住,,,1070914,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850802,136.86,4,2,2,有,有,無,15000,110,,0.0,0,,RPXNMLMJIINFFEF68CC
汐止區,建物,新北市汐止區湖前街110巷97弄1~30號,0.0,其他,,,1070910,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881202,118.63000000000001,3,2,2,有,有,無,19000,160,,0.0,0,,RPQNMLMJIINFFDF87CC
汐止區,建物,新北市汐止區民生街4巷1~30號,0.0,住,,,1070903,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681005,67.34,3,1,1,有,無,無,13000,193,,0.0,0,,RPVOMLMJIINFFDF48CC
汐止區,房地(土地+建物),新北市汐止區大同路一段391~420號,62.75,工,,,1070928,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0580701,113.46,0,0,0,無,無,無,35000,308,,0.0,0,,RPWOMLMJIINFFDF58CC
林口區,房地(土地+建物)+車位,新北市林口區文化二路一段20巷1~30號,7.06,住,,,1070915,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830530,67.04,1,0,1,有,有,有,12000,179,坡道平面,0.0,0,,RPOOMLMJIINFFBF57CC
新莊區,建物,新北市新莊區化成路63巷31~60號,139.95,工,,,1070724,土地0建物1車位0,見其他登記事項,2,工廠,見其他登記事項,鋼筋混凝土造,0730111,217.8,0,0,0,無,無,無,60000,,,0.0,0,,RPROMLMJIINFFBF87CC
林口區,房地(土地+建物)+車位,新北市林口區南勢二街361~390號,43.03,住,,,1070922,土地1建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971212,172.58999999999997,3,2,2,有,無,有,20000,116,坡道平面,34.79,0,,RPOPMLMJIINFFBF67CC
板橋區,建物,新北市板橋區中正路269巷1~30號,0.0,住,,,1070918,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670324,76.24,3,2,1,有,無,有,17000,223,,0.0,0,,RPRSMLMJIINFFAF18CC
板橋區,建物,新北市板橋區和平路安樂巷49弄1~30號,0.0,住,,,1070918,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720513,63.76,2,1,1,有,無,有,12000,188,,0.0,0,,RPSSMLMJIINFFAF28CC
板橋區,建物,新北市板橋區忠孝路196巷31~60號,0.0,住,,,1070910,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,124.32,3,2,2,有,有,有,29516,237,,0.0,0,,RPPNMLNJIINFFAF57CC
土城區,房地(土地+建物)+車位,新北市土城區學府路一段126巷31~60號,15.32,住,,,1070906,土地1建物1車位1,九層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840211,121.44,2,2,1,有,有,有,16200,155,坡道平面,36.4,3000,此件為 社會住宅包(代)租代管計畫 租金市價打9折。,RPWSMLNJIINFFAF78CC
五股區,房地(土地+建物),新北市五股區水碓路16巷31~60號,5.66,住,,,1070914,土地1建物1車位0,六層,9,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860129,35.98,1,1,1,有,有,有,9000,250,,0.0,0,,RPQPMLNJIINFFBF97CC
新莊區,房地(土地+建物),新北市新莊區思源路421~450號,25.14,住,,,1070910,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740124,107.67999999999999,0,0,0,無,無,無,20000,186,,0.0,0,,RPRPMLNJIINFFBF08CC
板橋區,建物,新北市板橋區民族路34巷1~30號,0.0,商,,,1070918,土地0建物1車位0,一層,15,店面(店鋪),見其他登記事項,鋼筋混凝土造,0870122,94.76,0,0,0,無,無,無,35000,369,,0.0,0,,RPXQMLOJIINFFAF78CC
板橋區,建物,新北市板橋區文化路一段361~390號,0.0,住,,,1071001,土地0建物1車位0,十五層,43,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990715,54.129999999999995,1,1,1,有,有,有,27245,503,,0.0,0,此租賃金額含管理費,RPUTMLOJIINFFAF78CC
板橋區,建物,新北市板橋區三民路二段21巷61~90號,0.0,住,,,1070928,土地0建物1車位0,一層,2,套房(1房1廳1衛),住家用,加強磚造,0700522,19.83,1,1,1,有,無,有,9500,479,,0.0,0,此為透天產品隔套出租,RPOUMLOJIINFFAF28CC
淡水區,車位,新北市淡水區淡金路38巷31~60號,0.0,,,,1070821,土地0建物0車位1,,0,其他,住家用,鋼筋混凝土造,0980218,30.14,0,0,0,有,有,有,2300,,坡道平面,0.0,0,,RPUNMLOJIINFFEF58CC
淡水區,房地(土地+建物),新北市淡水區民權路1~30號,5.9,工,,,1070909,土地1建物1車位0,六層,24,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0971223,54.410000000000004,1,1,1,有,有,有,13250,244,,0.0,0,租金含管理費。,RPPOMLOJIINFFEF18CC
新店區,房地(土地+建物)+車位,新北市新店區安泰路1~30號,36.77,其他,,,1070914,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040921,104.59,2,1,1,有,有,無,19000,182,坡道機械,13.64,0,,RPWOMLOJIINFFCF68CC
汐止區,建物,新北市汐止區樟樹一路241~270號,0.0,住,,,1071004,土地0建物1車位0,一層,8,店面(店鋪),商業用,鋼筋混凝土造,0890127,89.45,0,1,1,有,有,無,25000,279,,0.0,0,,RPWNMLOJIINFFDF78DC
蘆洲區,建物,新北市蘆洲區長榮路31~60號,0.0,住,,,1070906,土地0建物2車位0,見其他登記事項,2,店面(店鋪),住家用,鋼筋混凝土造,0971110,298.56,0,0,1,有,無,無,150000,502,,0.0,0,租金調整:第1-3年每月15萬，第4-5年每月15.45萬,RPXNMLOJIINFFGF09CC
中和區,建物,新北市中和區安平路61~90號,0.0,住,,,1070909,土地0建物1車位0,一層,15,店面(店鋪),見其他登記事項,鋼筋混凝土造,0850325,156.26,0,0,0,無,無,無,45000,288,,0.0,0,,RPRNMLOJIINFFHF58CC
中和區,房地(土地+建物)+車位,新北市中和區景新街34巷2弄1~30號,1.54,住,,,1070908,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1021223,147.43,2,1,1,有,無,無,30000,203,坡道機械,19.3,0,,RPVNMLOJIINFFHF98CC
中和區,建物,新北市中和區連城路421~450號,0.0,住,,,1070911,土地0建物1車位0,一層,6,店面(店鋪),住家用,鋼筋混凝土造,0701226,48.04,0,0,0,無,無,無,15000,312,,0.0,0,,RPXNMLOJIINFFHF56CC
永和區,建物,新北市永和區雙和街17巷1~30號,0.0,住,,,1070916,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1030718,121.47,2,2,2,有,無,無,27000,222,,0.0,0,,RPOOMLOJIINFFHF38CC
中和區,建物,新北市中和區中山路二段332巷31~60號,0.0,工,,,1070913,土地0建物1車位0,三層,15,辦公商業大樓,見其他登記事項,見其他登記事項,1060118,93.16,0,0,0,無,無,無,20000,215,,0.0,0,,RPPOMLOJIINFFHF48CC
永和區,建物,新北市永和區永貞路301~330號,0.0,住,,,1070913,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0700213,106.41,0,0,0,無,無,有,58000,545,,0.0,0,,RPQOMLOJIINFFHF58CC
中和區,建物,新北市中和區圓通路305巷13弄1~30號,0.0,住,,,1070916,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771227,100.46,3,2,2,有,無,無,16000,159,,0.0,0,,RPSOMLOJIINFFHF78CC
中和區,建物,新北市中和區中和路151~180號,0.0,商,,,1070917,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650531,106.56,2,1,1,有,無,有,12000,113,,0.0,0,,RPUOMLOJIINFFHF98CC
永和區,建物,新北市永和區中正路361~390號,0.0,商,,,1070907,土地0建物1車位0,一層,11,店面(店鋪),商業用,鋼筋混凝土造,0880626,87.96,0,0,0,無,無,無,30000,341,,0.0,0,,RPWOMLOJIINFFHF56CC
永和區,房地(土地+建物)+車位,新北市永和區成功路二段217巷5弄1~30號,19.04,住,,,1070917,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780809,190.34,4,2,2,有,有,無,27000,142,坡道平面,0.0,0,,RPSPMLOJIINFFHF88CC
中和區,建物,新北市中和區中正路871~900號,0.0,工,,,1070907,土地0建物1車位0,五層,17,廠辦,見其他登記事項,鋼筋混凝土造,0910617,228.85000000000002,0,0,0,無,有,無,49000,214,,0.0,0,,RPPPMLPJIINFFHF68CC
中和區,建物,新北市中和區連城路91~120號,0.0,住,,,1070910,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670323,65.85,2,1,1,有,無,有,12000,182,,0.0,0,,RPOQMLPJIINFFHF68CC
淡水區,建物,新北市淡水區新春街151~180號,0.0,,,,1070915,土地0建物1車位0,二十六層,31,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0880811,108.03,3,2,2,有,有,有,16000,148,,0.0,0,租金含管理費1635元,RPQTMLPJIINFFEF88CC
汐止區,房地(土地+建物),新北市汐止區新臺五路一段91~120號,48.22,工,,,1070927,土地2建物2車位0,十四層,37,廠辦,工業用,見其他登記事項,1031013,645.3,0,0,0,無,有,無,126887,197,,0.0,0,"107/10/1-107/10/31免租金107/11/1-110/10/31租金126,887元/月110/11/1-113/10/31租金133,328元/月113/11/1-116/10/31租金139,966元/月116/11/1-117/10/31租金146,993元/月",RPQNMLPJIINFFDF18CC
汐止區,房地(土地+建物),新北市汐止區新臺五路一段91~120號,69.8,工,,,1070927,土地2建物3車位0,十四層,37,廠辦,工業用,見其他登記事項,1031013,932.9399999999999,0,0,0,無,有,無,183443,197,,0.0,0,"107/10/1-107/10/31免租金107/11/1-110/10/31租金183,443元/月110/11/1-113/10/31租金192,756元/月113/11/1-116/10/31租金202,352元/月116/11/1-117/10/31租金212,512元/月",RPRNMLPJIINFFDF28CC
汐止區,房地(土地+建物)+車位,新北市汐止區福德二路211~240號,435.63,工,,,1070911,土地4建物2車位6,二層,6,廠辦,工業用,鋼筋混凝土造,0791101,2422.68,0,0,0,無,有,無,280000,116,坡道平面,0.0,0,含6個坡道平面車位，且無法區分車位面積，租金內含,RPXNMLPJIINFFDF88CC
汐止區,建物,新北市汐止區大同路二段211~240號,0.0,住,,,1071002,土地0建物1車位0,七層,29,套房(1房1廳1衛),住家用,鋼筋混凝土造,1001223,56.44,1,1,1,有,有,有,19000,337,,0.0,0,,RPQNMLQJIINFFDF28CC
汐止區,建物,新北市汐止區大同路二段211~240號,0.0,其他,,,1071004,土地0建物1車位0,十層,17,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,0850710,118.02,2,1,1,有,有,無,29000,246,,0.0,0,"本戶分割2間,A室與B室",RPRNMLQJIINFFDF38CC
汐止區,建物,新北市汐止區大同路二段241~270號,0.0,住,,,1071002,土地0建物1車位0,三層,29,套房(1房1廳1衛),住家用,鋼筋混凝土造,1001223,50.72,1,0,1,有,有,有,18000,355,,0.0,0,,RPSNMLQJIINFFDF48CC
汐止區,建物,新北市汐止區新臺五路一段151~180號,0.0,商,,,1071001,土地0建物1車位0,八層,14,辦公商業大樓,商業用,鋼筋混凝土造,0880706,162.07,0,0,0,無,有,無,38000,234,,0.0,0,,RPTNMLQJIINFFDF58CC
新莊區,房地(土地+建物),新北市新莊區公園一路31~60號,24.6,住,,,1070921,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0750821,94.4,0,0,0,無,無,無,25000,265,,0.0,0,,RPPNMLQJIINFFBF97CC
三重區,建物,新北市三重區永福街181~210號,0.0,住,,,1070911,土地0建物1車位0,一層,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0691230,85.0,1,1,1,有,無,無,25000,294,,0.0,0,,RPPNMLQJIINFFGF48CC
三重區,建物,新北市三重區過圳街31~60號,0.0,商,,,1070920,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941006,78.79,2,2,1,有,有,有,16000,203,,0.0,0,,RPQNMLQJIINFFGF58CC
三重區,建物,新北市三重區集賢路121~150號,0.0,住,,,1070915,土地0建物1車位1,一層,15,店面(店鋪),商業用,鋼筋混凝土造,0990607,191.7,0,1,1,有,有,無,55000,287,坡道平面,25.0,0,租金含管理費,RPSOMLSJIINFFGF09CC
蘆洲區,建物,新北市蘆洲區三民路571~600號,0.0,商,,,1070917,土地0建物1車位1,七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041230,165.35000000000002,3,2,2,有,有,有,36000,218,坡道平面,19.55,0,,RPVOMLSJIINFFGF76CC
板橋區,房地(土地+建物)+車位,新北市板橋區文化路二段91~120號,9.63,住,,,1070810,土地1建物1車位1,二十層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840607,137.85,3,2,2,有,有,有,42000,305,坡道平面,0.0,0,租金含管理費。撤銷原申報書序號C1FA10709070048,RPTSMLSJIINFFAF56EC
板橋區,房地(土地+建物),新北市板橋區樂群路211~240號,18.43,住,,,1070810,土地1建物1車位0,一層,23,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070104,108.84,0,0,0,無,有,無,46500,427,,0.0,0,,RPVSMLSJIINFFAF76EC
永和區,建物,新北市永和區永和路二段1~30號,0.0,商,,,1070912,土地0建物1車位0,二層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0880409,214.82,0,0,0,無,無,無,30000,140,,0.0,0,,RPSNMLSJIINFFHF09CC
林口區,建物,新北市林口區八德路331~360號,0.0,住,,,1070908,土地0建物1車位1,二十層,33,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1061130,203.32,3,2,2,有,有,無,38000,187,坡道平面,30.9,0,,RPRNMLSJIINFFBF38CC
林口區,建物,新北市林口區文化一路一段91~120號,0.0,住,,,1070908,土地0建物1車位2,七層,20,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051228,218.64,3,2,2,有,有,無,31500,144,坡道平面,68.16,0,,RPSNMLSJIINFFBF48CC
