編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRSMLLJIINFFBF18CC,文德段,.00,都市：商
RPQOMLMJIINFFBF87DC,富國段,25.15,都市：商
RPRSMLLJIINFFBF18CC,文德段,.00,都市：商
RPTUMLMJIINFFBF78DC,中興段,38.83,都市：工
RPTUMLMJIINFFBF78DC,中興段,102.18,都市：工
RPRNMLMJIINFFDF18EC,保長段,3.51,都市：住
RPPNMLMJIINFFDF97EC,保長段,8.53,都市：住
RPQNMLLJIINFFIF28CC,白雞段白雞小段,37.50,非都市：山坡地保育區 ; 非都市編定：丁種建築用地
RPQNMLLJIINFFIF28CC,白雞段白雞小段,37.50,非都市：山坡地保育區 ; 非都市編定：丁種建築用地
RPQNMLLJIINFFIF28CC,白雞段白雞小段,37.50,非都市：山坡地保育區 ; 非都市編定：丁種建築用地
RPQNMLLJIINFFIF28CC,白雞段白雞小段,37.50,非都市：山坡地保育區 ; 非都市編定：丁種建築用地
RPQNMLMJIINFFDF87CC,金龍段,.00,都市：其他
RPQNMLMJIINFFDF87CC,金龍段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLMJIINFFDF87CC,金龍段,.00,都市：其他
RPQNMLMJIINFFDF87CC,金龍段,.00,都市：其他
RPSNMLMJIINFFDF28EC,保長段,3.91,都市：住
RPXNMLMJIINFFEF68CC,飛歌段,.00,都市：住
RPWOMLMJIINFFDF58CC,工建段,62.75,都市：工
RPROMLMJIINFFIF78EC,仁愛段,58.00,都市：住
RPROMLMJIINFFIF78EC,仁愛段,66.19,都市：住
RPROMLMJIINFFIF78EC,仁愛段,19.94,都市：其他
RPROMLMJIINFFIF78EC,仁愛段,.84,都市：住
RPOOMLMJIINFFBF57CC,國宅段,7.06,都市：住
RPOPMLMJIINFFBF67CC,建林段,43.03,都市：住
RPQOMLLJIINFFCF77CC,行政段,351.04,都市：其他
RPQPMLNJIINFFBF97CC,德音段,5.66,都市：住
RPVOMLMJIINFFDF48CC,中正段,.00,都市：住
RPRPMLNJIINFFBF08CC,昌隆段,25.14,都市：住
RPSNMLMJIINFFAF97EC,文化段,2.18,都市：住
RPRSMLMJIINFFAF18CC,國光段,.00,都市：住
RPRNMLMJIINFFAF87EC,公館段,.00,都市：住
RPRNMLMJIINFFAF87EC,公館段,.00,都市：住
RPRNMLMJIINFFAF87EC,公館段,.00,都市：住
RPSSMLMJIINFFAF28CC,和平段,.00,都市：住
RPROMLMJIINFFBF87CC,化成段,139.95,都市：工
RPWNMLOJIINFFDF78DC,厚德段,.00,都市：住
