編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPOOMLMJIINFFBF57CC,坡道平面,0,
RPOPMLMJIINFFBF67CC,坡道平面,0,34.79
RPQOMLLJIINFFCF77CC,坡道機械,0,
RPWSMLNJIINFFAF78CC,坡道平面,3000,36.40
RPUNMLOJIINFFEF58CC,坡道平面,0,
RPVNMLOJIINFFHF98CC,坡道機械,0,19.30
RPWOMLOJIINFFCF68CC,坡道機械,0,13.64
RPSPMLOJIINFFHF88CC,坡道平面,0,
RPXNMLPJIINFFDF88CC,坡道平面,0,
RPXNMLPJIINFFDF88CC,坡道平面,0,
RPXNMLPJIINFFDF88CC,坡道平面,0,
RPXNMLPJIINFFDF88CC,坡道平面,0,
RPXNMLPJIINFFDF88CC,坡道平面,0,
RPXNMLPJIINFFDF88CC,坡道平面,0,
RPSNMLSJIINFFBF48CC,坡道平面,0,34.08
RPSNMLSJIINFFBF48CC,坡道平面,0,34.08
RPVOMLSJIINFFGF76CC,坡道平面,0,19.55
RPRNMLSJIINFFBF38CC,坡道平面,0,30.90
RPWPMLSJIINFFBF09CC,坡道平面,0,18.30
RPUPMLSJIINFFBF88CC,坡道平面,0,15.60
RPTNMLSJIINFFBF58CC,坡道平面,0,34.08
RPTNMLSJIINFFBF58CC,坡道平面,0,34.08
RPSOMLSJIINFFGF09CC,坡道平面,0,25.00
RPPOMLSJIINFFAF18CC,坡道平面,0,29.55
RPPOMLSJIINFFAF18CC,坡道平面,0,29.55
RPTSMLSJIINFFAF56EC,坡道平面,0,
RPWOMLTJIINFFCF56CC,坡道平面,0,
RPPOMLTJIINFFAF28CC,坡道平面,0,46.38
RPPOMLTJIINFFAF28CC,坡道平面,0,46.38
RPPOMLTJIINFFAF28CC,坡道平面,0,46.38
