鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
中壢區,建物,桃園市中壢區後寮一路241~270號,0.0,住,,,1070915,土地0建物0車位0,三層,4,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1060524,34.68,1,0,1,有,無,有,7500,216,,0.0,0,,RPSNMLLJIINFFBH97CC
中壢區,建物,桃園市中壢區實踐路211~240號,0.0,住,,,1070916,土地0建物1車位0,五層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0930410,28.01,1,0,1,有,有,無,4500,161,,0.0,0,,RPTNMLLJIINFFBH08CC
中壢區,建物,桃園市中壢區金山三街1~30號,0.0,住,,,1070917,土地0建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811120,103.41,3,2,2,有,有,無,11000,106,升降機械,0.0,0,,RPUNMLLJIINFFBH18CC
楊梅區,建物,桃園市楊梅區福羚路61~90號,0.0,住,,,1070901,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840126,76.39,2,1,1,有,有,有,11000,144,,0.0,0,,RPPNMLLJIINFFDH87CC
楊梅區,建物,桃園市楊梅區金山街368巷1~30號,0.0,住,,,1070901,土地0建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060802,159.24,3,2,2,有,有,有,16000,100,坡道平面,31.7,0,,RPRNMLLJIINFFDH08CC
楊梅區,建物,桃園市楊梅區金山街368巷1~30號,0.0,住,,,1070902,土地0建物1車位1,二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060802,125.31,2,1,1,有,有,有,13000,104,坡道平面,31.7,0,,RPTNMLLJIINFFDH28CC
蘆竹區,建物,桃園市蘆竹區興中街31~60號,0.0,商,,,1070919,土地0建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951105,137.51999999999998,3,2,2,有,有,有,18000,131,坡道平面,27.38,0,,RPQNMLLJIINFFEH08CC
龜山區,房地(土地+建物)+車位,桃園市龜山區自強南路301~330號,24.92,住,,,1070916,土地1建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950718,168.48000000000002,2,2,2,有,有,有,16500,98,坡道平面,0.0,0,,RPSNMLLJIINFFHH68DC
桃園區,房地(土地+建物)+車位,桃園市桃園區藝文一街61~90號,28.0,商,,,1070823,土地1建物1車位1,十層,18,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1050601,336.35,0,0,0,無,有,有,60000,178,坡道平面,21.42,0,,RPOPMLLJIINFFAH87EC
