編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLLJIINFFHH68DC,12,81.25,住家用,鋼筋混凝土造,95年7月18日,十三層,
RPSNMLLJIINFFHH68DC,12,87.23,共有部份,鋼筋混凝土造,95年7月18日,十三層,
RPQNMLLJIINFFEH08CC,12,83.83,住家用,鋼筋混凝土造,95年11月5日,十二層,
RPQNMLLJIINFFEH08CC,12,53.69,共有部份,鋼筋混凝土造,95年11月5日,十二層,
RPUNMLLJIINFFBH18CC,26,76.98,住家用,鋼筋混凝土造,81年11月20日,七層,
RPUNMLLJIINFFBH18CC,26,26.43,共有部分,鋼筋混凝土造,81年11月20日,七層,
RPPNMLLJIINFFDH87CC,24,60.38,住家用,鋼筋混凝土造,84年1月26日,十二層,
RPRNMLLJIINFFDH08CC,1,86.57,見其他登記事項,鋼筋混凝土造,106年8月2日,十五層,
RPPNMLLJIINFFDH87CC,24,14.78,共有部份,鋼筋混凝土造,84年1月26日,十二層,
RPRNMLLJIINFFDH08CC,1,72.67,見其他登記事項,鋼筋混凝土造,106年8月2日,十五層,
RPPNMLLJIINFFDH87CC,24,1.23,共有部份,鋼筋混凝土造,84年1月26日,十二層,
RPTNMLLJIINFFHH68CC,4,60.97,住家用,鋼筋混凝土造,103年7月5日,十五層,
RPTNMLLJIINFFHH68CC,4,28.14,見其他登記事項,鋼筋混凝土造,103年7月5日,十五層,
RPTNMLLJIINFFDH28CC,1,63.61,見其他登記事項,鋼筋混凝土造,106年8月2日,十五層,
RPTNMLLJIINFFDH28CC,1,61.70,見其他登記事項,鋼筋混凝土造,106年8月2日,十五層,
RPSNMLLJIINFFBH97CC,1,34.68,見其他登記事項,鋼筋混凝土造,106年5月24日,四層,
RPSOMLMJIINFFEH48CC,5,148.11,住家用,鋼筋混凝土造,102年7月15日,十四層,
RPSOMLMJIINFFEH48CC,5,50.65,共有部份,鋼筋混凝土造,102年7月15日,十四層,
RPSOMLMJIINFFEH48CC,5,13.50,共有部份,鋼筋混凝土造,102年7月15日,十四層,
RPOPMLLJIINFFAH87EC,2,197.31,見其他登記事項,鋼筋混凝土造,105年6月1日,十八層,
RPOPMLLJIINFFAH87EC,2,136.59,見其他登記事項,鋼筋混凝土造,105年6月1日,十八層,
RPOPMLLJIINFFAH87EC,2,2.45,見其他登記事項,鋼筋混凝土造,105年6月1日,二十七層,
RPPOMLMJIINFFBH87CC,36,91.13,住家用,鋼筋混凝土造,71年12月29日,五層,
RPUQMLMJIINFFBH58CC,44,65.70,住家用,加強磚造,63年9月3日,四層,
RPOSMLMJIINFFBH18CC,19,136.24,住家用,鋼筋混凝土造,88年9月17日,十五層,
RPOSMLMJIINFFBH18CC,19,16.65,共有部分,鋼筋混凝土造,88年9月17日,十五層,
RPOSMLMJIINFFBH18CC,19,5.03,共有部分,鋼筋混凝土造,88年9月17日,十五層,
RPOSMLMJIINFFBH18CC,19,6.56,共有部分,鋼筋混凝土造,88年9月17日,十五層,
RPOSMLMJIINFFBH18CC,19,.50,共有部分,鋼筋混凝土造,88年9月17日,十五層,
RPROMLMJIINFFBH08CC,18,73.62,住家用,鋼筋混凝土造,89年5月26日,十四層,
RPROMLMJIINFFBH08CC,18,8.67,共有部分,鋼筋混凝土造,89年5月26日,十四層,
RPROMLMJIINFFBH08CC,18,9.98,共有部分,鋼筋混凝土造,89年5月26日,十四層,
RPOPMLMJIINFFAH77CC,41,105.90,住家用,加強磚造,67年3月4日,二層,
RPOOMLMJIINFFAH77DC,42,101.63,住家用,加強磚造,65年10月16日,二層,
RPSNMLNJIINFFDH38CC,25,84.95,住家用,鋼筋混凝土造,82年10月22日,十二層,
RPSNMLNJIINFFDH38CC,25,9.55,見其他登記事項,,82年10月22日,000,
RPSNMLNJIINFFDH38CC,25,15.26,見其他登記事項,鋼筋混凝土造,82年10月22日,十二層,
RPTNMLLJIINFFBH08CC,14,18.94,住家用,鋼筋混凝土造,93年4月10日,十層,
RPTNMLLJIINFFBH08CC,14,5.87,共有部分,鋼筋混凝土造,93年4月10日,十層,
RPTNMLLJIINFFBH08CC,14,.81,共有部分,鋼筋混凝土造,93年4月10日,十層,
RPTNMLLJIINFFBH08CC,14,2.39,共有部分,鋼筋混凝土造,93年4月10日,十層,
RPQOMLNJIINFFBH28EC,29,343.89,見其他登記事項,鋼筋混凝土造,78年5月20日,七層,
RPXOMLNJIINFFBH88DC,4,117.09,見其他登記事項,鋼筋混凝土造,103年7月18日,十四層,
RPXOMLNJIINFFBH88DC,4,77.07,見其他登記事項,鋼筋混凝土造,103年7月18日,十四層,
RPRRMLMJIINFFAH28CC,30,129.44,住家用,加強磚造,77年8月18日,二層,
RPRRMLMJIINFFAH28CC,30,14.54,住家用,加強磚造,77年8月18日,二層,
RPRNMLNJIINFFGH58CC,19,159.65,見其他登記事項,鋼筋混凝土造,88年11月5日,三層,
RPWNMLNJIINFFCH88EC,6,121.42,見其他登記事項,鋼筋混凝土造,100年9月19日,十四層,
RPWNMLNJIINFFCH88EC,6,54.45,見其他登記事項,鋼筋混凝土造,100年9月19日,一層,
RPWNMLNJIINFFCH88EC,6,20.65,見其他登記事項,鋼筋混凝土造,100年9月19日,十四層,
RPWNMLNJIINFFCH88EC,6,.11,見其他登記事項,鋼筋混凝土造,100年9月19日,一層,
RPXNMLNJIINFFCH98EC,4,937.94,見其他登記事項,見其他登記事項,103年2月18日,二層,
