編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQOMLLJIINFFAH87DC,龍安段,91.00,都市：住
RPQOMLLJIINFFAH87DC,龍安段,91.00,都市：住
RPQOMLLJIINFFAH87DC,龍安段,91.00,都市：住
RPSNMLLJIINFFHH68DC,自強段,24.92,都市：住
RPQNMLLJIINFFEH08CC,大新段,.00,都市：商
RPUNMLLJIINFFBH18CC,中壢埔頂段,.00,都市：住
RPPNMLLJIINFFDH87CC,草湳坡段埔心小段,.00,都市：住
RPRNMLLJIINFFDH08CC,大金山下段大金山下小段,.00,都市：住
RPTNMLLJIINFFHH68CC,半嶺段,.00,都市：商
RPTNMLLJIINFFDH28CC,大金山下段大金山下小段,.00,都市：住
RPSNMLLJIINFFBH97CC,中寮段,.00,都市：住
RPSOMLMJIINFFEH48CC,青山段,47.71,都市：住
RPOPMLLJIINFFAH87EC,同德段,28.00,都市：商
RPPRMLMJIINFFBH18CC,中工段,1729.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPPOMLMJIINFFBH87CC,三座屋段三座屋小段,.00,都市：住
RPUQMLMJIINFFBH58CC,三座屋段舊社小段,.00,都市：其他
RPUQMLMJIINFFBH58CC,三座屋段舊社小段,.00,都市：住
RPOSMLMJIINFFBH18CC,新街段,.00,都市：住
RPROMLMJIINFFBH08CC,復興段,.00,都市：住
RPROMLMJIINFFAH08DC,埔子段北門埔子小段,147.00,都市：商
RPOPMLMJIINFFAH77CC,陽明段,83.68,都市：住
RPOOMLMJIINFFAH77DC,西門段,166.00,都市：住
RPSNMLNJIINFFDH38CC,頭重溪段,.00,都市：住
RPSNMLNJIINFFDH38CC,大金山下段大金山下小段,.00,都市：住
RPTNMLLJIINFFBH08CC,中北段,.00,都市：住
RPQOMLNJIINFFBH28EC,中壢埔頂段,61.60,都市：住
RPXOMLNJIINFFBH88DC,青平段,21.20,都市：住
RPRRMLMJIINFFAH28CC,同安段,84.00,都市：住
RPRNMLNJIINFFGH58CC,雙連段,227.05,都市：工
RPWNMLNJIINFFCH88EC,埔頂段,32.58,都市：住
RPXNMLNJIINFFCH98EC,烏林段,781.03,非都市：工業區 ; 非都市編定：丁種建築用地
RPOOMLNJIINFFCH18EC,烏林段,263.34,非都市：工業區 ; 非都市編定：丁種建築用地
RPVNMLNJIINFFCH78EC,八德段,30.14,非都市：一般農業區 ; 非都市編定：甲種建築用地
