鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
竹北市,建物,新竹縣竹北市科大一路1~30號,0.0,住,,,1070904,土地0建物1車位1,一層,13,店面(店鋪),商業用,鋼筋混凝土造,1000719,244.8,0,2,2,有,有,有,32812,134,坡道平面,33.47,0,,RPWPMLLJIINFFBJ78CC
竹北市,建物,新竹縣竹北市科大二街31~60號,0.0,住,,,1070907,土地0建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000628,181.62,3,2,2,有,有,有,22000,121,坡道平面,31.67,0,租金含管理費,RPXPMLLJIINFFBJ88CC
寶山鄉,房地(土地+建物),新竹縣寶山鄉愛迪生路72巷1~30號,332.05,,山坡地保育區,丙種建築用地,1070928,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0921015,413.3,5,3,5,有,有,有,30000,73,,0.0,0,,RPWNMLLJIINFFCJ68CC
竹北市,建物,新竹縣竹北市嘉豐十一路一段91~120號,0.0,商,,,1070906,土地0建物1車位1,七層,14,辦公商業大樓,商業用,鋼筋混凝土造,0970321,202.8,0,0,0,無,有,有,56000,276,坡道平面,0.0,0,,RPPNMLNJIINFFBJ08CC
竹北市,建物,新竹縣竹北市文信路181~210號,0.0,住,,,1070910,土地0建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0921104,332.8,0,0,0,無,無,無,56000,168,,0.0,0,,RPQNMLNJIINFFBJ18CC
竹北市,建物,新竹縣竹北市福興一路31~60號,0.0,商,,,1070920,土地0建物1車位1,六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030728,146.07,3,2,2,有,有,有,24974,171,坡道平面,0.0,0,,RPROMLQJIINFFBJ68CC
竹北市,建物,新竹縣竹北市莊敬五街1~30號,0.0,住,,,1070925,土地0建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950519,127.05,3,2,2,有,有,有,23000,181,坡道平面,0.0,0,,RPSOMLQJIINFFBJ78CC
竹北市,建物,新竹縣竹北市臺科路121~150號,0.0,住,,,1070919,土地0建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040217,175.32,3,2,2,有,有,有,25000,143,坡道平面,36.42,0,租金含管理費,RPSOMLSJIINFFBJ98CC
竹北市,建物,新竹縣竹北市福興路913巷31~60號,0.0,住,,,1071007,土地0建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,0821129,150.98000000000002,6,2,3,有,有,無,30000,199,坡道平面,0.0,0,,RPRNMLTJIINFFBJ88CC
湖口鄉,土地,中義段91~120地號,1170.12,住,,,1071010,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,95600,82,,0.0,0,,RPQNMLKKIINFFDJ28DC
