編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWPMLLJIINFFBJ78CC,7,161.25,商業用,鋼筋混凝土造,100年7月19日,十三層,
RPWPMLLJIINFFBJ78CC,7,83.55,見其他登記事項,鋼筋混凝土造,100年7月19日,十三層,
RPXPMLLJIINFFBJ88CC,7,112.72,住家用,鋼筋混凝土造,100年6月28日,十三層,
RPXPMLLJIINFFBJ88CC,7,68.88,見其他登記事項,鋼筋混凝土造,100年6月28日,十三層,
RPXPMLLJIINFFBJ88CC,7,.02,見其他登記事項,鋼筋混凝土造,100年6月28日,十三層,
RPSOMLSJIINFFBJ98CC,4,95.21,住家用,鋼筋混凝土造,104年2月17日,十三層,
RPSOMLSJIINFFBJ98CC,4,80.11,見其他登記事項,鋼筋混凝土造,104年2月17日,十四層,
RPPNMLNJIINFFBJ08CC,10,153.49,商業用,鋼筋混凝土造,97年3月21日,十四層,
RPPNMLNJIINFFBJ08CC,10,16.13,共用部分,鋼筋混凝土造,97年3月21日,十四層,
RPPNMLNJIINFFBJ08CC,10,33.18,共用部分,鋼筋混凝土造,97年3月21日,十四層,
RPSOMLQJIINFFBJ78CC,12,91.46,住家用,鋼筋混凝土造,95年5月19日,十五層,
RPSOMLQJIINFFBJ78CC,12,11.25,共用部分,鋼筋混凝土造,95年5月19日,十五層,
RPSOMLQJIINFFBJ78CC,12,24.34,共用部分,鋼筋混凝土造,95年5月19日,十五層,
RPROMLQJIINFFBJ68CC,4,101.88,住家用,鋼筋混凝土造,103年7月28日,二十四層,
RPROMLQJIINFFBJ68CC,4,21.89,見其他登記事項,鋼筋混凝土造,103年7月28日,二十四層,
RPROMLQJIINFFBJ68CC,4,22.30,見其他登記事項,鋼筋混凝土造,103年7月28日,二十四層,
RPQNMLNJIINFFBJ18CC,15,332.80,住商用,鋼筋混凝土造,92年11月4日,四層,
RPRNMLTJIINFFBJ88CC,25,150.40,住家用,鋼筋混凝土造,82年11月29日,三層,
RPRNMLTJIINFFBJ88CC,25,.58,共用部分,鋼筋混凝土造,82年11月29日,六層,
RPWNMLLJIINFFCJ68CC,15,413.30,住家用,鋼筋混凝土造,92年10月15日,三層,
