編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLKKIINFFDJ28DC,中義段,1170.12,都市：住
RPWPMLLJIINFFBJ78CC,台科段,.00,都市：住
RPXPMLLJIINFFBJ88CC,台科段,.00,都市：住
RPSOMLSJIINFFBJ98CC,台科段,.00,都市：住
RPPNMLNJIINFFBJ08CC,永興段,.00,都市：商
RPSOMLQJIINFFBJ78CC,大學段,.00,都市：住
RPROMLQJIINFFBJ68CC,台科段,.00,都市：商
RPQNMLNJIINFFBJ18CC,翰林段,.00,都市：住
RPRNMLTJIINFFBJ88CC,縣福段,.00,都市：住
RPWNMLLJIINFFCJ68CC,大雅段,332.05,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
