鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
新竹市,建物,新竹市新竹市東大路三段301~330號,0.0,住,,,1070902,土地0建物1車位1,八層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041207,132.76,2,2,1,有,有,無,15000,113,坡道平面,0.0,0,租金含管理費2000元,RPPOMLLJIINFFAO38CC
新竹市,建物,新竹市新竹市安和街4巷1~30號,0.0,住,,,1070904,土地0建物1車位1,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820719,95.58999999999999,3,2,2,有,無,無,13000,136,其他,0.0,0,,RPUOMLLJIINFFAO88CC
新竹市,建物,新竹市新竹市中山路211~240號,0.0,商,,,1070906,土地0建物1車位0,五層,10,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960606,38.269999999999996,1,0,1,有,有,有,12000,314,,0.0,0,租金含管理費1500元,RPVOMLLJIINFFAO98CC
新竹市,建物,新竹市新竹市經國路二段151~180號,0.0,商,,,1070910,土地0建物1車位0,三層,11,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0971108,37.76,1,0,1,有,有,有,9000,238,,0.0,0,租金含管理費1200元,RPWOMLLJIINFFAO09CC
新竹市,建物,新竹市新竹市中山路211~240號,0.0,商,,,1070913,土地0建物1車位0,八層,10,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960606,41.480000000000004,1,0,1,有,有,有,12000,289,,0.0,0,租金含管理費1500元,RPOPMLLJIINFFAO38CC
新竹市,建物,新竹市新竹市東門街34巷1~30號,0.0,商,,,1070914,土地0建物1車位1,十五層,25,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011015,180.2,3,2,2,有,有,有,43000,239,坡道平面,29.47,0,,RPPQMLLJIINFFAO58CC
新竹市,房地(土地+建物),新竹市新竹市光復路一段544巷1~30號,143.0,住,,,1070914,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0680611,135.16,3,2,2,有,無,無,28000,207,,0.0,0,,RPPPMLOJIINFFAO78CC
新竹市,建物,新竹市新竹市東明街91~120號,0.0,住,,,1070921,土地0建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840802,139.13,3,2,2,有,有,無,14000,101,坡道平面,0.0,0,,RPQNMLPJIINFFAO78CC
新竹市,建物,新竹市新竹市中央路151~180號,0.0,住,,,1070920,土地0建物1車位0,八層,29,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0961101,138.12,3,2,2,有,有,有,37000,268,,0.0,0,"租金含管,含稅金",RPTPMLPJIINFFAO66CC
新竹市,建物,新竹市新竹市中山路211~240號,0.0,商,,,1070913,土地0建物1車位0,八層,10,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960606,41.480000000000004,1,0,1,有,有,有,12000,289,,0.0,0,租金含管理費1500元,RPSNMLQJIINFFAO09CC
新竹市,建物,新竹市新竹市青草湖160巷61~90號,0.0,,山坡地保育區,丙種建築用地,1070915,土地0建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.14999999999999,3,2,1,有,有,有,14000,152,坡道機械,0.0,0,,RPUQMLSJIINFFAO17CC
新竹市,建物,新竹市新竹市中央路245巷31~60號,0.0,商,,,1070910,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010221,45.8,1,0,1,有,有,有,25000,546,,0.0,0,,RPWNMLTJIINFFAO17CC
