編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLQJIINFFAO09CC,11,28.00,見其他登記事項,鋼筋混凝土造,96年6月6日,十層,
RPSNMLQJIINFFAO09CC,11,13.48,見其他登記事項,鋼筋混凝土造,96年6月6日,十層,
RPQNMLPJIINFFAO78CC,23,93.82,住家用,鋼筋混凝土造,84年8月2日,七層,
RPQNMLPJIINFFAO78CC,23,11.38,共有部分,鋼筋混凝土造,84年8月2日,七層,
RPQNMLPJIINFFAO78CC,23,33.93,共有部分,鋼筋混凝土造,84年8月2日,七層,
RPTPMLPJIINFFAO66CC,11,88.31,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,
RPTPMLPJIINFFAO66CC,11,.27,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,
RPTPMLPJIINFFAO66CC,11,.00,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,
RPTPMLPJIINFFAO66CC,11,26.56,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,
RPTPMLPJIINFFAO66CC,11,15.73,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,
RPTPMLPJIINFFAO66CC,11,4.62,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,
RPTPMLPJIINFFAO66CC,11,2.63,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,
RPWNMLTJIINFFAO17CC,7,45.80,見其他登記事項,鋼筋混凝土造,101年2月21日,十一層,
RPVOMLLJIINFFAO98CC,11,25.84,見其他登記事項,鋼筋混凝土造,96年6月6日,十層,
RPVOMLLJIINFFAO98CC,11,12.43,見其他登記事項,鋼筋混凝土造,96年6月6日,十層,
RPWOMLLJIINFFAO09CC,10,25.38,見其他登記事項,鋼筋混凝土造,97年11月8日,十一層,
RPWOMLLJIINFFAO09CC,10,5.14,見其他登記事項,鋼筋混凝土造,97年11月8日,十一層,
RPWOMLLJIINFFAO09CC,10,7.24,見其他登記事項,鋼筋混凝土造,97年11月8日,十一層,
RPOPMLLJIINFFAO38CC,11,28.00,見其他登記事項,鋼筋混凝土造,96年6月6日,十層,
RPOPMLLJIINFFAO38CC,11,13.48,見其他登記事項,鋼筋混凝土造,96年6月6日,十層,
RPPQMLLJIINFFAO58CC,6,102.00,見其他登記事項,鋼筋混凝土造,101年10月15日,二十層,
RPPQMLLJIINFFAO58CC,6,50.61,共有部分,鋼筋混凝土造,101年10月15日,二十五層,
RPPQMLLJIINFFAO58CC,6,27.59,共有部分,鋼筋混凝土造,101年10月15日,二十五層,
RPPOMLLJIINFFAO38CC,3,67.95,見其他登記事項,鋼筋混凝土造,104年12月7日,八層,
RPPOMLLJIINFFAO38CC,3,13.20,共有部分,鋼筋混凝土造,104年12月7日,八層,
RPPOMLLJIINFFAO38CC,3,51.61,共有部分,鋼筋混凝土造,104年12月7日,八層,
RPUOMLLJIINFFAO88CC,25,81.99,住家用,鋼筋混凝土造,82年7月19日,五層,
RPUOMLLJIINFFAO88CC,25,13.60,共有部分,鋼筋混凝土造,82年7月19日,五層,
RPPPMLOJIINFFAO78CC,39,135.16,住家用,加強磚造,68年6月11日,二層,
RPUQMLSJIINFFAO17CC,,63.91,住家用,鋼筋混凝土造,,十層,
RPUQMLSJIINFFAO17CC,24,3.86,見其他登記事項,鋼筋混凝土造,84年3月7日,一層,
RPUQMLSJIINFFAO17CC,,6.57,共有部分,鋼筋混凝土造,,十層,
RPUQMLSJIINFFAO17CC,,17.81,共有部分,鋼筋混凝土造,,十層,
