編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSNMLQJIINFFAO09CC,西門段三小段,.00,都市：商
RPQNMLPJIINFFAO78CC,東明段,.00,都市：住
RPTPMLPJIINFFAO66CC,親仁段二小段,.00,都市：住
RPWNMLTJIINFFAO17CC,復中段,.00,都市：商
RPVOMLLJIINFFAO98CC,西門段三小段,.00,都市：商
RPWOMLLJIINFFAO09CC,北門段,.00,都市：商
RPOPMLLJIINFFAO38CC,南門段四小段,.00,都市：商
RPPQMLLJIINFFAO58CC,榮光段一小段,.00,都市：商
RPPOMLLJIINFFAO38CC,康朗段,.00,都市：住
RPUOMLLJIINFFAO88CC,科園段科園小段,.00,都市：住
RPUOMLLJIINFFAO88CC,科園段科園小段,.00,都市：住
RPPPMLOJIINFFAO78CC,光武段,143.00,都市：住
RPUQMLSJIINFFAO17CC,明湖段,.00,非都市：山坡地保育區 ; 非都市編定：水利用地
RPUQMLSJIINFFAO17CC,明湖段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUQMLSJIINFFAO17CC,明湖段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUQMLSJIINFFAO17CC,明湖段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUQMLSJIINFFAO17CC,明湖段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
